,the_geom,Geographic_Area_Name,estimatedPercentBelowPovertyLevel
56,"[[37.035945981, -121.588149954], [37.021995981, -121.579122952], [37.037785982, -121.584332954], [37.035786981, -121.588114954], [37.022472981, -121.576446951], [37.027424981, -121.581942952], [37.027576981, -121.579107952], [37.035033981, -121.587854954], [37.025724981, -121.581722952], [37.02163498, -121.578727951]]",Census Tract 5125.13,1.00%
57,"[[37.274788975, -121.97927404], [37.272779974, -121.988774041], [37.284924975, -121.999267045], [37.289392976, -121.988988043], [37.286134976, -121.983513043], [37.269180974, -121.990642041], [37.290049976, -121.989725044], [37.286339976, -121.984452043], [37.286884975, -121.995663044], [37.289042975, -121.995013045]]",Census Tract 5066.04,1.00%
58,"[[37.524476973, -122.311811119], [37.531884975, -122.303128118], [37.531007975, -122.302716118], [37.527951973, -122.31236212], [37.525609975, -122.296534117], [37.529947973, -122.311303119], [37.532953974, -122.303509119], [37.532935975, -122.303568119], [37.524727974, -122.311150119], [37.529981974, -122.31128012]]",Census Tract 6071,1.10%
59,"[[37.431455979, -122.119022079], [37.431924979, -122.118303079], [37.43431298, -122.114600079], [37.430553978, -122.12480908], [37.434324979, -122.130783082], [37.44357498, -122.125263082], [37.431354978, -122.126077081], [37.434214979, -122.130613081], [37.438678979, -122.130116082], [37.434814979, -122.131543082]]",Census Tract 5110,1.10%
60,"[[37.832369005, -122.227561142], [37.814567005, -122.225058139], [37.815292004, -122.228148139], [37.816441004, -122.23312214], [37.823020004, -122.236459142], [37.827367006, -122.22219514], [37.816525004, -122.233932141], [37.818637003, -122.237628141], [37.831398005, -122.233532142], [37.812384005, -122.214989138]]",Census Tract 4261,1.20%
61,"[[37.205339978, -121.858492014], [37.191287978, -121.83943801], [37.193127978, -121.844893011], [37.200720977, -121.858909014], [37.197734977, -121.858230014], [37.200025977, -121.858465014], [37.201832977, -121.859771015], [37.198489978, -121.83399601], [37.202106979, -121.839074011], [37.201225979, -121.83793601]]",Census Tract 5119.17,1.20%
62,"[[37.765632988, -122.388050158], [37.753118988, -122.382964156], [37.765360988, -122.393353159], [37.752634987, -122.391244157], [37.754701987, -122.391801158], [37.752821987, -122.388102156], [37.766796988, -122.390989159], [37.761064988, -122.392332158], [37.767259989, -122.385836158], [37.764786988, -122.393018159]]",Census Tract 226,1.20%
63,"[[37.762152017, -121.981049095], [37.759023017, -121.976022095], [37.761992017, -121.980865096], [37.768801018, -121.970896095], [37.759240018, -121.973478094], [37.763761017, -121.982878096], [37.761768018, -121.980609096], [37.759386018, -121.973077094], [37.769408018, -121.977527096], [37.766417018, -121.980639096]]",Census Tract 3451.16,1.20%
64,"[[37.565038996, -122.041453082], [37.552300994, -122.051255083], [37.556825995, -122.044351082], [37.554007994, -122.056134084], [37.568686995, -122.058903086], [37.564059996, -122.039219082], [37.561835995, -122.049346083], [37.562948996, -122.038867082], [37.567407995, -122.058624085], [37.549486994, -122.055155083]]",Census Tract 4415.24,1.20%
65,"[[37.657379018, -121.843839062], [37.664868019, -121.842395063], [37.662561019, -121.834858062], [37.675999022, -121.806861058], [37.666344018, -121.856452066], [37.652834017, -121.856232064], [37.655924017, -121.851230063], [37.652273017, -121.854705063], [37.661842019, -121.833954061], [37.656799018, -121.846034063]]",Census Tract 4507.42,1.20%
66,"[[37.092949981, -121.667942973], [37.087708981, -121.648858969], [37.113394983, -121.661462974], [37.155335986, -121.676533981], [37.118954981, -121.699532981], [37.104720983, -121.656040972], [37.124944981, -121.704542981], [37.143214986, -121.663192978], [37.091237982, -121.639627968], [37.085765981, -121.65704797]]",Census Tract 5123.05,1.20%
67,"[[38.243533059, -121.96996015], [38.256944059, -121.988194154], [38.243429058, -121.984478152], [38.264213059, -121.988104155], [38.26178406, -121.988134155], [38.243340059, -121.974545151], [38.259452059, -121.988165155], [38.254190059, -121.974502152], [38.258547059, -121.988185155], [38.25805006, -121.974503152]]",Census Tract 2527.06,1.20%
68,"[[37.755897984, -122.437816165], [37.752834983, -122.442252165], [37.756097984, -122.434559164], [37.755438984, -122.438877165], [37.755970984, -122.436757164], [37.752895984, -122.434253164], [37.752384983, -122.442538165], [37.751157983, -122.436312164], [37.754613984, -122.440781165], [37.751532983, -122.443075165]]",Census Tract 212,1.30%
69,"[[37.878532024, -122.028122116], [37.890104025, -122.026378117], [37.890576025, -122.031494118], [37.885459024, -122.045850119], [37.893518025, -122.033949118], [37.890647025, -122.031609118], [37.889779025, -122.026509117], [37.901676026, -122.03228012], [37.879606024, -122.026059116], [37.885656024, -122.041767119]]",Census Tract 3430.03,1.30%
70,"[[37.533305, -121.953452066], [37.553909002, -121.946071067], [37.541967001, -121.954369066], [37.54777, -121.954785067], [37.550234002, -121.940435065], [37.53681, -121.952311065], [37.536019, -121.952959065], [37.549776002, -121.939970065], [37.558693002, -121.953766068], [37.540381, -121.949042065]]",Census Tract 4421,1.30%
71,"[[37.367054981, -122.021063057], [37.375274981, -122.020483058], [37.36719498, -122.022133057], [37.366608981, -122.015705057], [37.374504981, -122.020803058], [37.371404981, -122.013643056], [37.366741981, -122.018416057], [37.36686498, -122.019733057], [37.366644981, -122.013973056], [37.366633981, -122.014248056]]",Census Tract 5087.05,1.30%
72,"[[37.792079005, -122.18377213], [37.784211005, -122.184937129], [37.784075005, -122.180714129], [37.791269006, -122.179780129], [37.786141004, -122.194393131], [37.789097005, -122.178452129], [37.784119004, -122.182121129], [37.790991006, -122.18481313], [37.784726004, -122.19016513], [37.784076005, -122.180738128]]",Census Tract 4079,1.30%
73,"[[37.829337006, -122.213854139], [37.821652006, -122.207378137], [37.823850006, -122.209190137], [37.830573005, -122.223211141], [37.821094005, -122.214132138], [37.829790005, -122.224064141], [37.821803006, -122.215309138], [37.829341005, -122.223562141], [37.823789006, -122.209140138], [37.827367006, -122.22219514]]",Census Tract 4045.01,1.30%
74,"[[37.544998978, -122.277219116], [37.548275978, -122.283565117], [37.555122978, -122.278363117], [37.548588977, -122.283937117], [37.545362977, -122.277842116], [37.555332979, -122.279007117], [37.555335978, -122.279851118], [37.544572978, -122.275909116], [37.554090978, -122.283331118], [37.554964978, -122.282151118]]",Census Tract 6080.24,1.30%
75,"[[37.551232979, -122.263585115], [37.551407979, -122.263563115], [37.554438979, -122.266485116], [37.548642978, -122.261992114], [37.548641979, -122.260536114], [37.547789979, -122.260643114], [37.549028979, -122.264074115], [37.551817979, -122.263555114], [37.555692979, -122.273534117], [37.547903979, -122.270675115]]",Census Tract 6080.02,1.40%
76,"[[37.882595015, -122.157251136], [37.890337016, -122.154029137], [37.871831012, -122.177611139], [37.887673014, -122.17696514], [37.889032016, -122.154070137], [37.878202013, -122.18078714], [37.882114015, -122.157788137], [37.877822014, -122.159356136], [37.887981016, -122.154848137], [37.877317012, -122.179769139]]",Census Tract 3530.02,1.40%
77,"[[37.793023999, -122.261774142], [37.796097, -122.259672142], [37.791912999, -122.262474142], [37.798455, -122.264553143], [37.796937, -122.265504143], [37.793363999, -122.272138143], [37.795445, -122.270846144], [37.796436999, -122.270215144], [37.798768, -122.261414143], [37.788032999, -122.268393142]]",Census Tract 4033.02,1.40%
78,"[[37.376545976, -122.09599107], [37.383854977, -122.08989707], [37.384674977, -122.095246071], [37.382114977, -122.086173069], [37.373806976, -122.095954069], [37.388642976, -122.102929072], [37.394034978, -122.098203072], [37.391486977, -122.094989072], [37.387629977, -122.087881069], [37.381860977, -122.089372069]]",Census Tract 5098.01,1.40%
79,"[[37.39181498, -122.068543067], [37.41170498, -122.078173071], [37.397796978, -122.08171207], [37.397364978, -122.08191807], [37.40162698, -122.07886007], [37.40545298, -122.069985069], [37.397027979, -122.082130069], [37.391528979, -122.068577067], [37.395274979, -122.078063069], [37.394874979, -122.077033069]]",Census Tract 5092.01,1.40%
80,"[[37.979959056, -121.714073079], [37.990539055, -121.727242083], [37.990539055, -121.727495083], [37.990560055, -121.723262082], [37.988501055, -121.732311083], [37.968911054, -121.720669079], [37.990559055, -121.722288082], [37.985475056, -121.71411208], [37.969096055, -121.714122078], [37.990540056, -121.713948081]]",Census Tract 3020.14,1.40%
81,"[[37.834447007, -122.21234114], [37.831363007, -122.21564014], [37.824505007, -122.202567137], [37.837876009, -122.187414136], [37.831405006, -122.21557914], [37.826238007, -122.202635137], [37.828108007, -122.201876137], [37.824895007, -122.202583137], [37.824276006, -122.202655136], [37.830582007, -122.198281137]]",Census Tract 4045.02,1.50%
82,"[[38.048325002, -122.519802211], [38.065754002, -122.535631216], [38.067147003, -122.536205216], [38.066386003, -122.536207215], [38.066729002, -122.536489216], [38.060849003, -122.528671214], [38.047641005, -122.487308206], [38.052086002, -122.518738211], [38.068229003, -122.535774216], [38.064685002, -122.534323215]]",Census Tract 1050.02,1.50%
83,"[[37.701381979, -122.451891161], [37.697101977, -122.462017162], [37.699748978, -122.45293216], [37.700111978, -122.462172162], [37.699547978, -122.462142162], [37.699676977, -122.462148162], [37.693592976, -122.461832161], [37.698090978, -122.45570616], [37.697662977, -122.458621161], [37.694660977, -122.460090161]]",Census Tract 6005.01,1.50%
84,"[[37.302337982, -121.913616033], [37.299775982, -121.913612033], [37.301427983, -121.901956032], [37.301104982, -121.913625033], [37.306721983, -121.904933032], [37.305521983, -121.907588033], [37.306791983, -121.904774033], [37.294483982, -121.905100031], [37.298481982, -121.913588033], [37.303289982, -121.913613033]]",Census Tract 5023.01,1.50%
85,,Census Tract 1526.01,1.50%
